speech_embedding_idx,speech_embedding_path,speaker_id,text_embedding_idx,text,audio_event_idx,audio_file_path,audio_start_time,audio_stop_time,audio_sample_rate,audio_start_sample,audio_stop_sample,n_audio_samples
10,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,26,躺上六个月来消化它们。”,27,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,6.578000,7.196000,12000,78936,86352,7416
11,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,27,当时，,28,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,7.206000,7.321000,12000,86472,87852,1380
12,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,28,我对丛林里的奇妙景象想得很多，,29,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,7.332000,8.196000,12000,87984,98352,10368
13,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,29,于是我也用彩色铅笔画了我的第一幅画：,30,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,8.207000,9.259000,12000,98484,111108,12624
14,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,30,我的作品一号。,31,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,9.267000,9.634000,12000,111204,115608,4404
15,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,31,它就像这样：,32,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,9.640000,9.946000,12000,115680,119352,3672
16,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,32,我把这幅杰作给大人看，,33,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,9.954000,10.571000,12000,119448,126852,7404
17,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,33,问他们我的图画吓不吓人。,34,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,10.579000,11.258000,12000,126948,135096,8148
18,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,34,他们回答说：,35,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,11.270000,11.571000,12000,135240,138852,3612
19,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,35,“一顶帽子怎么会吓人呢？”,36,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,11.578000,12.196000,12000,138936,146352,7416
20,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,36,我画的不是一顶帽子。,37,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,12.206000,12.758000,12000,146472,153096,6624
21,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,37,我画的是一条蟒蛇在消化大象。,38,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,12.769000,13.571000,12000,153228,162852,9624
22,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,38,于是我把蟒蛇肚子的内部画出来，,39,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,13.582000,14.446000,12000,162984,173352,10368
23,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,39,好让这些大人看得明白。,40,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,14.457000,15.071000,12000,173484,180852,7368
24,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,40,他们老是要人给他们解释。,41,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,15.080000,15.758000,12000,180960,189096,8136
25,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,41,我的作品二号是这样的：,42,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,15.768000,16.383000,12000,189216,196596,7380
26,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,42,那些大人劝我别再画蟒蛇，,43,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,16.392000,17.071000,12000,196704,204852,8148
27,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,43,甭管它是剖开的，,44,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,17.078000,17.508000,12000,204936,210096,5160
28,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,44,还是没剖开的，,45,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,17.514000,17.883000,12000,210168,214596,4428
29,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,45,全都丢开。,46,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,17.887000,18.133000,12000,214644,217596,2952
30,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,46,他们说，,47,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,18.143000,18.320000,12000,217716,219840,2124
31,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,47,我还是把心思放在地理、历史、算术和语法上好。,48,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,18.328000,19.508000,12000,219936,234096,14160
32,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,48,就这样，,49,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,19.516000,19.696000,12000,234192,236352,2160
33,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,49,我才六岁，,50,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,19.702000,19.946000,12000,236424,239352,2928
34,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,50,就放弃了辉煌的画家生涯。,51,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,19.954000,20.633000,12000,239448,247596,8148
35,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,51,作品一号和作品二号都没成功，,52,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,20.641000,21.445000,12000,247692,257340,9648
36,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,52,我泄了气。,53,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,21.454000,21.696000,12000,257448,260352,2904
37,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,53,那些大人自个儿什么也弄不懂，,54,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,21.705000,22.508000,12000,260460,270096,9636
38,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,54,老要孩子们一遍一遍给他们解释，,55,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,22.516000,23.383000,12000,270192,280596,10404
39,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,55,真烦人。,56,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,23.392000,23.570000,12000,280704,282840,2136
40,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,56,我只好另外选择一个职业，,57,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,23.577000,24.258000,12000,282924,291096,8172
41,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,57,学会了开飞机。,58,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,24.266000,24.633000,12000,291192,295596,4404
42,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,58,世界各地我差不多都飞过。,59,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,24.639000,25.320000,12000,295668,303840,8172
43,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,59,的确，,60,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,25.327000,25.445000,12000,303924,305340,1416
44,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,60,地理学对我非常有用。,61,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,25.452000,26.008000,12000,305424,312096,6672
45,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,61,我一眼就能认出哪是中国，,62,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,26.016000,26.695000,12000,312192,320340,8148
46,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,62,哪是亚利桑那。,63,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,26.703000,27.070000,12000,320436,324840,4404
47,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,63,要是夜里迷了路，,64,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,27.075000,27.508000,12000,324900,330096,5196
48,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,64,这很有用。,65,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,27.512000,27.758000,12000,330144,333096,2952
49,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,65,就这样，,66,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,27.762000,27.945000,12000,333144,335340,2196
50,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,66,我这一生中，,67,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,27.952000,28.258000,12000,335424,339096,3672
51,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,67,跟好多严肃的人打过好多交道。,68,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,28.267000,29.070000,12000,339204,348840,9636
52,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,68,我在那些大人中间生活过很长时间。,69,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,29.081000,30.007000,12000,348972,360084,11112
53,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,69,我仔细地观察过他们。,70,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,30.018000,30.570000,12000,360216,366840,6624
54,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,70,观察下来印象并没好多少。,71,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,30.578000,31.258000,12000,366936,375096,8160
55,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,71,要是碰上一个人，,72,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,31.267000,31.695000,12000,375204,380340,5136
56,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,72,看上去头脑稍许清楚些，,73,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,31.721000,32.320000,12000,380652,387840,7188
57,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,73,我就拿出一直保存着的作品一号，,74,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,32.328000,33.195000,12000,387936,398340,10404
58,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,74,让他试试看。,75,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,33.202000,33.507000,12000,398424,402084,3660
59,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,75,我想知道，,76,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,33.513000,33.757000,12000,402156,405084,2928
60,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,76,他是不是真的能看懂。,77,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,33.764000,34.320000,12000,405168,411840,6672
61,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,77,可是人家总是回答我：,78,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,34.327000,34.882000,12000,411924,418584,6660
62,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,78,“这是一顶帽子。”,79,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,34.889000,35.257000,12000,418668,423084,4416
63,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,79,这时候，,80,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,35.264000,35.445000,12000,423168,425340,2172
64,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,80,我就不跟他说什么蟒蛇啊，,81,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,35.450000,36.132000,12000,425400,433584,8184
65,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,81,原始森林啊，,82,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,36.138000,36.445000,12000,433656,437340,3684
66,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,82,星星啊，,83,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,36.449000,36.632000,12000,437388,439584,2196
67,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,83,都不说了。,84,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,36.638000,36.882000,12000,439656,442584,2928
68,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,84,我就说些他能懂的事情。,85,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,36.904000,37.507000,12000,442848,450084,7236
69,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,85,我跟他说桥，,86,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,37.516000,37.820000,12000,450192,453840,3648
70,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,86,高尔夫，,87,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,37.824000,38.007000,12000,453888,456084,2196
71,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,87,政治，,88,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,38.011000,38.132000,12000,456132,457584,1452
72,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,88,还有领带。,89,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,38.137000,38.382000,12000,457644,460584,2940
73,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,89,于是大人觉得很高兴，,90,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,38.390000,38.945000,12000,460680,467340,6660
74,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,90,认识了这么个通情达理的人。,91,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_1.wav,38.951000,39.695000,12000,467412,476340,8928
75,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,91,2,92,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,1.198000,1.261000,12000,14376,15132,756
76,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,92,我孤独地生活着，,93,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,1.267000,1.702000,12000,15204,20424,5220
77,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,93,没有一个真正谈得来的人，,94,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,1.709000,2.390000,12000,20508,28680,8172
78,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,94,直到六年前，,95,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,2.398000,2.702000,12000,28776,32424,3648
79,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,95,有一次飞机出了故障，,96,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,2.714000,3.265000,12000,32568,39180,6612
80,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,96,降落在撒哈拉大沙漠。,97,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,3.275000,3.827000,12000,39300,45924,6624
81,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,97,发动机里有样什么东西碎掉了。,98,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,3.837000,4.640000,12000,46044,55680,9636
82,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,98,因为我身边既没有机械师，,99,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,4.649000,5.327000,12000,55788,63924,8136
83,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,99,也没有乘客，,100,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,5.339000,5.640000,12000,64068,67680,3612
84,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,100,我就打算单枪匹马来完成一项困难的修复工作。,101,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,5.650000,6.890000,12000,67800,82680,14880
85,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,101,这在我是个生死攸关的问题。,102,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,6.902000,7.640000,12000,82824,91680,8856
86,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,102,我带的水只够喝一星期了。,103,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,7.648000,8.327000,12000,91776,99924,8148
87,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,103,第一天晚上，,104,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,8.337000,8.640000,12000,100044,103680,3636
88,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,104,我睡在这片远离人烟的大沙漠上，,105,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,8.675000,9.515000,12000,104100,114180,10080
89,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,105,比靠一块船板在大海中漂流的遇难者还孤独。,106,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,9.525000,10.702000,12000,114300,128424,14124
90,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,106,所以，,107,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,10.715000,10.827000,12000,128580,129924,1344
91,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,107,当天蒙蒙亮，,108,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,10.835000,11.139000,12000,130020,133668,3648
92,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,108,有个奇怪的声音轻轻把我喊醒的时候，,109,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,11.149000,12.140000,12000,133788,145680,11892
93,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,109,你们可以想象我有多么惊讶。,110,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,12.149000,12.889000,12000,145788,154668,8880
94,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,110,这个声音说：,111,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,12.896000,13.202000,12000,154752,158424,3672
95,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,111,“对不起……,112,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,13.208000,13.389000,12000,158496,160668,2172
96,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,112,请给我画只绵羊！”,113,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,13.394000,13.827000,12000,160728,165924,5196
97,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,113,“嗯！”,114,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,13.833000,13.889000,12000,165996,166668,672
98,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,114,“请给我画只绵羊……”,115,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,13.896000,14.327000,12000,166752,171924,5172
99,D:\code\chineseeeg2_littleprince_pl\data\audio\littleprince_sentence_audio_embeddings.npy,littleprince_f1,115,我像遭了雷击似的，,116,D:\dataset\ChineseEEG-2\materials&embeddings\audio\littleprince_f1\audio_2.wav,14.335000,14.827000,12000,172020,177924,5904
